model,DeltaQAICc,weight,npar,QDeviance
Phi(AgeClass3 * NAO + Time + Juvenile:Nestling age)p(time),15.07068859147148,2.134835755818736e-4,32,4121.877441116119
Phi(AgeClass3 * NAO + Time + Juvenile:Nestling age:Leucocytozoon)p(time),15.14624007877228,2.0556949597639885e-4,33,4119.910192258058
Phi(AgeClass3 * NAO + Time + Leucocytozoon)p(time),15.216521865574578,1.9847105350037945e-4,32,1244.7010548183919
Phi(AgeClass3 + NAO + Juvenile:Hatch date)p(Time),15.325495554789995,1.8794632536553747e-4,18,4150.593736037291
Phi(AgeClass3 * NAO + Time + Juvenile:Rank)p(time),15.361497801205587,1.8459334961215955e-4,32,4122.1682503258535
Phi(AgeClass3 * NAO + Time + Sex)p(time),15.409508755641582,1.8021486226390686e-4,32,1244.8939559746125
Phi(AgeClass3 + NAO + Time + Morph)p(1),15.520325944961769,1.7050101053634882e-4,19,1271.4418704321693
Phi(AgeClass3 * NAO + Juvenile:Hatch date)p(Time),15.685078406499088,1.5701871355087454e-4,20,4146.90306538263
Phi(AgeClass3 * NAO + Time)p(1),15.716399253529744,1.5457888820940703e-4,19,1271.6379437407368
Phi(AgeClass3 + NAO + Time + Juvenile:Leucocytozoon)p(1),15.905785322013799,1.406130139340662e-4,19,1271.827329809222
Phi(AgeClass3 * NAO + Time + Morph)p(time),16.28812918975109,1.1614502214931326e-4,33,1243.7298617972062
Phi(AgeClass3 * NAO + Time + Juvenile:Leucocytozoon)p(time),16.366232724559268,1.1169677501416617e-4,33,1243.8079653320137
Phi(AgeClass3 * NAO + Time + Juvenile:Nestling age:Leucocytozoon)p(1),16.389541341802214,1.1040258243438167e-4,21,4145.580449321735
Phi(AgeClass3 * NAO + Time + Juvenile:Hatch date)p(1),16.499207019597634,1.0451187342971976e-4,20,4147.717193995729
Phi(AgeClass3 + NAO)p(Time),16.804889132413336,8.969900082065977e-5,17,1276.7740013254968
Phi(AgeClass3 * NAO + Time + Leucocytozoon)p(1),17.32825332210996,6.904631663814908e-5,20,1271.2240207264108
Phi(AgeClass3 * NAO + Time + Juvenile:Nestling age)p(1),17.333568820637083,6.886305248391367e-5,20,4148.551555796768
Phi(AgeClass3 * NAO)p(Time),17.47471472594225,6.417070724410336e-5,19,1273.3962592131497
Phi(AgeClass3 * NAO + Time + Juvenile:Rank)p(1),17.572251851267538,6.111627946956514e-5,20,4148.790238827399
Phi(AgeClass3 * NAO + Time + Sex)p(1),17.738404047158838,5.6244157695928356e-5,20,1271.6340857176124
Phi(AgeClass3 + NAO + Juvenile:Nestling age:Leucocytozoon)p(Time),18.101943552124794,4.689600169085242e-5,19,4151.345707611163
Phi(AgeClass3 + NAO + Juvenile:Rank)p(Time),18.6354221939946,3.59163670788554e-5,18,4153.9036626764955
Phi(AgeClass3 + NAO + Juvenile:Nestling age)p(Time),18.68549076076488,3.502838790375691e-5,18,4153.953731243266
Phi(AgeClass3 + NAO + Sex)p(Time),18.789314449735684,3.3256391401083854e-5,18,1276.7353353604055
Phi(AgeClass3 + NAO + Leucocytozoon)p(Time),18.820178634730837,3.2747115396992157e-5,18,1276.766199545401
Phi(AgeClass3 * NAO + Time + Morph)p(1),18.827211819500008,3.263215938555334e-5,21,1270.6959002276024
Phi(AgeClass3 * NAO + Juvenile:Nestling age:Leucocytozoon)p(Time),19.00613835862532,2.9839559607762026e-5,21,4148.197046338558
Phi(AgeClass3 * NAO + Time + Juvenile:Leucocytozoon)p(1),19.15462938199198,2.7704351787353636e-5,21,1271.0233177900943
Phi(AgeClass3 + NAO + Juvenile:Leucocytozoon)p(Time),19.252748983213678,2.6377983515753724e-5,19,1275.174293470421
Phi(AgeClass3 * NAO + Juvenile:Rank)p(Time),19.284785449271112,2.5958820913579072e-5,20,4150.502772425402
Phi(AgeClass3 + NAO + Morph)p(Time),19.318249642481533,2.5528088987433992e-5,19,1275.2397941296886
Phi(AgeClass3 * NAO + Juvenile:Nestling age)p(Time),19.432590601859374,2.4109570917268965e-5,20,4150.650577577991
Phi(AgeClass3 * NAO + Sex)p(Time),19.480687290143578,2.353669166625315e-5,20,1273.3764546944444
Phi(AgeClass3 * NAO + Leucocytozoon)p(Time),19.487974667156777,2.3451087345794947e-5,20,1273.3837420714572
Phi(AgeClass3 * NAO + Juvenile:Leucocytozoon)p(Time),20.03811667748232,1.7811527451872173e-5,21,1271.9068050855847
Phi(AgeClass3 * NAO + Morph)p(Time),20.248164603144687,1.603577068256918e-5,21,1272.1168530112473
Phi(AgeClass3 + NAO + Juvenile:Body condition)p(1),38.156076215354005,2.0722218049550963e-9,6,4197.617036554579
Phi(AgeClass3 * NAO + Juvenile:Body condition)p(1),39.75425529621134,9.319574004272718e-10,8,4195.195998443239
Phi(AgeClass3 + NAO + Body condition)p(1),40.506898305829964,6.396784326730522e-10,6,4199.967858645055
Phi(AgeClass3 + NAO + Juvenile:Hatch date)p(1),41.58860225606804,3.7245403193991793e-10,6,4201.049562595293
Phi(AgeClass3 * Body condition + NAO)p(1),41.777145421112436,3.38946420577211e-10,8,4197.21888856814
Phi(AgeClass3 * NAO + Juvenile:Hatch date)p(1),43.63911311480115,1.3360106019334636e-10,8,4199.080856261829
Phi(AgeClass3 + NAO + Juvenile:Nestling age:Leucocytozoon)p(1),43.68132995185715,1.3081050877626312e-10,7,4201.133324564016
Phi(AgeClass3 + NAO)p(1),44.07731838467589,1.0731361852991171e-10,5,1328.2237403741947
Phi(AgeClass3 + NAO + Juvenile:Nestling age)p(1),44.89321339674552,7.136503586777823e-11,6,4204.35417373597
Phi(AgeClass3 + NAO + Juvenile:Rank)p(1),45.90864508309096,4.2952386543316304e-11,6,4205.3696054223155
Phi(AgeClass3 + NAO + Sex)p(1),46.05404968795756,3.99404625911188e-11,6,1328.192790455352
Phi(AgeClass3 + NAO + Leucocytozoon)p(1),46.06493788655371,3.972361355618579e-11,6,1328.2036786539477
Phi(AgeClass3 * NAO + Juvenile:Nestling age:Leucocytozoon)p(1),46.18014379306442,3.7500072170394414e-11,9,4199.610348502192
Phi(AgeClass3 * NAO)p(1),46.249401611160465,3.6223712595925835e-11,7,1326.3791766514894
Phi(AgeClass3 + NAO + Morph)p(1),46.439816485812116,3.293403136466726e-11,7,1326.5695915261408
Phi(AgeClass3 + NAO + Juvenile:Leucocytozoon)p(1),46.44127396121439,3.291003983718841e-11,7,1326.5710490015433
Phi(AgeClass3 * NAO + Juvenile:Nestling age)p(1),47.25322344390406,2.1928848040092258e-11,8,4202.6949665909315
Phi(AgeClass3 * NAO + Juvenile:Rank)p(1),48.086384971082225,1.4457629503046738e-11,8,4203.52812811811
