model,DeltaQAICc,weight,npar,QDeviance
S(AgeClass3 * NAO + Time + Morph)p(time)r(Ageclass2)F(1),16.29381698611178,1.305199478744369e-4,36,1796.279277295657
S(AgeClass3 * Body condition + Time)p(1)r(Ageclass2)F(1),16.39218167132094,1.2425597219185893e-4,22,5737.471692346121
S(AgeClass3 + NAO + Juvenile:Hatch date)p(Time)r(Ageclass2)F(1),16.823543110321225,1.0014939390806431e-4,20,5741.9518859997315
S(AgeClass3 * NAO + Time + Juvenile:Leucocytozoon)p(time)r(Ageclass2)F(1),17.059077306301333,8.902310228302846e-5,36,1797.0445376158461
S(AgeClass3 + NAO + Time + Body condition)p(1)r(Ageclass2)F(1),17.397112456224022,7.517948119697644e-5,21,5740.50161224034
S(AgeClass3 * Body condition + Time + NAO)p(1)r(Ageclass2)F(1),18.418317758327248,4.511774762336768e-5,23,5737.471692346121
S(AgeClass3 + NAO + Juvenile:Nestling age:Leucocytozoon)p(Time)r(Ageclass2)F(1),18.513109945346514,4.3029227441528994e-5,21,5741.617609729463
S(AgeClass3 + NAO)p(Time)r(Ageclass2)F(1),18.528552713142744,4.269826165888643e-5,19,1833.0562685314349
S(AgeClass3 * NAO + Time + Juvenile:Body condition)p(1)r(Ageclass2)F(1),18.95175375566305,3.4555187635460457e-5,23,5738.005128343457
S(AgeClass3 + Time + Juvenile:Nestling age:Leucocytozoon)p(1)r(Ageclass2)F(1),19.258651480677145,2.9639526494291868e-5,21,5742.3631512647935
S(AgeClass3 + Time + Juvenile:Nestling age:Leucocytozoon)p(time)r(1)F(1),19.299374877562514,2.90421181582775e-5,32,5720.065749484173
S(AgeClass3 + Time)p(time)r(1)F(1),19.519789961197603,2.6011521768751362e-5,30,1811.7346893997494
S(AgeClass3 + Time)p(1)r(Ageclass2)F(1),19.805215431933902,2.2552069812840845e-5,19,1834.332931250227
S(AgeClass3 + Time + Juvenile:Hatch date)p(time)r(1)F(1),19.839945707120023,2.216383068646888e-5,31,5722.642823197433
S(AgeClass3 + NAO + Morph)p(Time)r(Ageclass2)F(1),20.408085170211052,1.668302908572594e-5,21,1830.8893455432233
S(AgeClass3 + NAO + Juvenile:Nestling age)p(Time)r(Ageclass2)F(1),20.492523101637744,1.5993350059973302e-5,20,5745.620865991048
S(AgeClass3 + NAO + Sex)p(Time)r(Ageclass2)F(1),20.50143942174691,1.592220784511759e-5,20,1833.0064571662065
S(AgeClass3 * NAO + Juvenile:Hatch date)p(Time)r(Ageclass2)F(1),20.52781099299773,1.571363911893483e-5,22,5741.607321667798
S(AgeClass3 + NAO + Juvenile:Rank)p(Time)r(Ageclass2)F(1),20.53641883140881,1.5646154214702215e-5,20,5745.664761720819
S(AgeClass3 + NAO + Leucocytozoon)p(Time)r(Ageclass2)F(1),20.537533371422796,1.563743751123785e-5,20,1833.0425511158817
S(AgeClass3 + Time + Juvenile:Hatch date)p(1)r(Ageclass2)F(1),20.583915382761916,1.5278962374912913e-5,20,5745.712258272172
S(AgeClass3 + NAO + Juvenile:Leucocytozoon)p(Time)r(Ageclass2)F(1),20.665029510296336,1.467169034704342e-5,21,1831.146289883309
S(AgeClass3 + Time + Juvenile:Nestling age)p(time)r(1)F(1),21.217774365619334,1.112892286084559e-5,31,5724.020651855933
S(AgeClass3 + NAO + Time + Juvenile:Nestling age:Leucocytozoon)p(1)r(Ageclass2)F(1),21.28364058999341,1.0768382244009205e-5,22,5742.3631512647935
S(AgeClass3 + NAO + Time + Juvenile:Nestling age:Leucocytozoon)p(time)r(1)F(1),21.337034536546525,1.0484702573973376e-5,33,5720.065749484173
S(AgeClass3 + Time + Leucocytozoon)p(time)r(1)F(1),21.344831927183805,1.0443905492501866e-5,31,1811.5243842725451
S(AgeClass3 + Time + Juvenile:Rank)p(time)r(1)F(1),21.524101401697408,9.548497999307754e-6,31,5724.326978892011
S(AgeClass3 + Time + Sex)p(time)r(1)F(1),21.53739014801522,9.485264521538688e-6,31,1811.716942493377
S(AgeClass3 + NAO + Time)p(time)r(1)F(1),21.55513705438716,9.4014697949616e-6,31,1811.7346893997494
S(AgeClass3 + Time + Juvenile:Nestling age)p(1)r(Ageclass2)F(1),21.558880693225547,9.383888400961124e-6,20,5746.687223582636
S(AgeClass3 + Time + Sex)p(1)r(Ageclass2)F(1),21.626096029437576,9.073758357624749e-6,20,1834.1311137738965
S(AgeClass3 + Time + Leucocytozoon)p(1)r(Ageclass2)F(1),21.708743458147183,8.706438734330649e-6,20,1834.2138469364534
S(AgeClass3 + Time + Juvenile:Rank)p(1)r(Ageclass2)F(1),21.795248909980728,8.337889363508215e-6,20,5746.923591799391
S(AgeClass3 + NAO + Time)p(1)r(Ageclass2)F(1),21.827913505767356,8.202818481990476e-6,20,1834.332931250227
S(AgeClass3 + NAO + Time + Juvenile:Hatch date)p(time)r(1)F(1),21.876448590823202,8.006152190947511e-6,32,5722.642823197433
S(AgeClass3 + NAO + Juvenile:Body condition)p(Time)r(1)F(1),22.154322845465686,6.967616095582338e-6,19,5749.305363808709
S(AgeClass3 + Time + Morph)p(time)r(1)F(1),22.17060142059836,6.911134834953618e-6,32,1810.313650882257
S(AgeClass3 + Time + Morph)p(1)r(Ageclass2)F(1),22.2680809854146,6.582364798924531e-6,21,1832.7493413584261
S(AgeClass3 * NAO + Juvenile:Nestling age:Leucocytozoon)p(Time)r(Ageclass2)F(1),22.325209175649434,6.397005419027755e-6,23,5741.378583763443
S(AgeClass3 * NAO)p(Time)r(Ageclass2)F(1),22.329895089251295,6.382035055980861e-6,21,1832.811069728417
S(AgeClass3 + NAO + Time + Juvenile:Hatch date)p(1)r(Ageclass2)F(1),22.60775848805588,5.554205126892821e-6,21,5745.712258272172
S(AgeClass3 + Time + Juvenile:Leucocytozoon)p(time)r(1)F(1),22.886736246337023,4.831062594086738e-6,32,1811.0298714418427
S(AgeClass3 + Time + Juvenile:Leucocytozoon)p(1)r(Ageclass2)F(1),23.077408503068,4.3917611241726914e-006,21,1833.5585831422334
S(AgeClass3 + NAO + Time + Juvenile:Nestling age)p(time)r(1)F(1),23.254277249322513,4.020056433639904e-6,32,5724.020651855933
S(AgeClass3 + NAO + Time + Leucocytozoon)p(time)r(1)F(1),23.381334810886983,3.7726103408599946e-6,32,1811.5243842725451
S(AgeClass3 + NAO + Time + Juvenile:Rank)p(time)r(1)F(1),23.560604285400586,3.449165862112761e-6,32,5724.326978892011
S(AgeClass3 + NAO + Time + Sex)p(time)r(1)F(1),23.5738930317184,3.426324285052207e-6,32,1811.716942493377
S(AgeClass3 + NAO + Time + Juvenile:Nestling age)p(1)r(Ageclass2)F(1),23.58272379851951,3.411229099718588e-6,21,5746.687223582636
S(AgeClass3 + NAO + Time + Sex)p(1)r(Ageclass2)F(1),23.64993913473154,3.298490692853298e-6,21,1834.1311137738965
S(AgeClass3 + NAO + Time + Leucocytozoon)p(1)r(Ageclass2)F(1),23.732586563441146,3.1649627421425704e-6,21,1834.2138469364534
S(AgeClass3 + NAO + Time + Juvenile:Rank)p(1)r(Ageclass2)F(1),23.81909201527469,3.030987753873988e-6,21,5746.923591799391
S(AgeClass3 + NAO + Time + Morph)p(time)r(1)F(1),24.20826107958237,2.495038164854466e-6,33,1810.313650882257
S(AgeClass3 * NAO + Morph)p(Time)r(Ageclass2)F(1),24.264680267215226,2.4256376342982425e-6,23,1830.694729710058
S(AgeClass3 + NAO + Time + Morph)p(1)r(Ageclass2)F(1),24.293070094730865,2.3914491426838705e-6,22,1832.7493413584261
S(AgeClass3 * NAO + Sex)p(Time)r(Ageclass2)F(1),24.296585182465606,2.3872497572920177e-6,22,1832.7527707123145
S(AgeClass3 * NAO + Juvenile:Nestling age)p(Time)r(Ageclass2)F(1),24.30541576872838,2.3767325851206187e-6,22,5745.3849264435285
S(AgeClass3 * NAO + Juvenile:Rank)p(Time)r(Ageclass2)F(1),24.33773742912672,2.3386313166948237e-6,22,5745.417248103927
