Model,DeltaQAICc,weight,npar,QDeviance
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~TIME)r(~AGE2)F(~1),7.875709784,0.003217112,32,4969.256349
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~TIME + AGE)r(~AGE2)F(~1),7.882549504,0.003206128,34,4965.18043
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~SEX),7.900830566,0.003176956,27,4979.466457
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~TIME)r(~AGE2)F(~1),8.037100892,0.002967703,33,4967.376988
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~1),8.128498419,0.002835135,27,4979.694125
S(~AGE + BCI + NAO)p(~TIME)r(~AGE2)F(~SEX),8.240527717,0.002680692,23,4987.931684
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~TIME + AGE)r(~AGE2)F(~1),8.284646654,0.002622205,35,4963.539265
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),8.331762297,0.002561153,34,4965.629643
S(~AGE + BCI + NAO + EKTO + SEX)p(~TIME)r(~AGE2)F(~1),8.380900182,0.002498995,24,4986.042541
S(~AGE * NAO)p(~TIME)r(~AGE2)F(~SEX),8.437617179,0.002429123,25,827.0042602
S(~AGE * NAO + SEX)p(~TIME)r(~AGE2)F(~1),8.4653943,0.002395619,25,827.0320373
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~TIME)r(~AGE2)F(~1),8.524532686,0.00232582,25,4984.155414
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),8.528816506,0.002320843,35,4963.783435
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~TIME)r(~AGE2)F(~1),8.599736927,0.002239988,33,4967.939624
S(~AGE + BCI + NAO + EKTO + MORPH)p(~TIME)r(~AGE2)F(~SEX),8.9057214,0.001922215,25,4984.536603
S(~AGE + BCI + NAO + EKTO)p(~TIME)r(~AGE2)F(~SEX),8.915833767,0.00191252,24,4986.577475
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~TIME)r(~AGE2)F(~1),8.991827415,0.001841214,33,4968.331714
S(~AGE + BCI + NAO)p(~TIME)r(~AGE2)F(~AGE),9.026088924,0.001809941,25,4984.65697
S(~AGE + BCI + NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),9.027745789,0.001808442,29,4976.523128
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),9.077115964,0.001764347,35,4964.331734
S(~AGE * BCI + AGE * NAO + AGE * ENDO)p(~TIME + AGE)r(~AGE2)F(~SEX),9.155593797,0.001696457,35,4964.410212
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~TIME)r(~AGE2)F(~1),9.206266861,0.001654015,25,4984.837148
S(~AGE * BCI + AGE * NAO + AGE * ENDO)p(~TIME)r(~AGE2)F(~SEX),9.224722146,0.001638822,33,4968.564609
S(~AGE * NAO)p(~TIME + AGE)r(~AGE2)F(~SEX),9.232414962,0.001632531,27,823.7338029
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~TIME)r(~AGE2)F(~1),9.278648504,0.001595225,34,4966.576529
S(~AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),9.304769882,0.001574525,27,823.8061578
S(~AGE + BCI + NAO)p(~TIME + AGE)r(~AGE2)F(~AGE),9.361294829,0.001530648,27,4980.926921
