Model,DeltaQAICc,weight,npar,QDeviance
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),18.8149776,1.32E-05,37,4969.979301
S(~AGE + NAO + EKTO + ENDO)p(~TIME + AGE)r(~AGE2)F(~SEX),18.84218343,1.30E-05,26,4992.441061
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + SEX)p(~TIME)r(~AGE2)F(~AGE),19.0378129,1.18E-05,40,4964.057249
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO)p(~TIME)r(~AGE2)F(~AGE + SEX),19.11494668,1.14E-05,40,4964.134382
S(~AGE + NAO + EKTO + ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),19.19977652,1.09E-05,26,4992.798654
S(~AGE + NAO + SEX)p(~TIME)r(~AGE2)F(~AGE),19.27293438,1.05E-05,25,837.8395774
S(~AGE + NAO)p(~TIME)r(~AGE2)F(~AGE + SEX),19.28883902,1.04E-05,25,837.8555567
S(~AGE + NAO + EKTO + ENDO)p(~TIME)r(~AGE2)F(~SEX),19.53557961,9.20E-06,24,4997.19722
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),19.5393962,9.18E-06,42,4960.45593
S(~AGE + NAO + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~SEX),19.54496974,9.16E-06,27,4991.110596
S(~AGE + NAO + EKTO + ENDO + SEX)p(~TIME)r(~AGE2)F(~1),19.76354614,8.21E-06,24,4997.425187
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~AGE),19.76593337,8.20E-06,41,4962.73455
S(~AGE + NAO + EKTO + ENDO + MORPH)p(~TIME)r(~AGE2)F(~SEX),20.03351974,7.17E-06,25,4995.664401
S(~AGE + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~1),20.04032839,7.15E-06,27,4991.605955
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~1),20.06177253,7.07E-06,35,4975.316391
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE),20.06977493,7.04E-06,42,4960.986309
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME)r(~AGE2)F(~SEX),20.1287503,6.84E-06,34,4977.426631
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME)r(~AGE2)F(~AGE + SEX),20.14876482,6.77E-06,41,4963.117381
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~1),20.30504542,6.26E-06,34,4977.602926
S(~AGE + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~1),20.40037188,5.97E-06,25,4996.031253
S(~AGE + NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),20.60923668,5.38E-06,27,835.1106246
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),20.67601806,5.20E-06,42,4961.592552
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),21.04839575,4.32E-06,42,4961.96493
S(~AGE + NAO + EKTO + ENDO)p(~TIME)r(~AGE2)F(~AGE),21.20801756,3.99E-06,26,4994.806895
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~SEX),21.45278215,3.53E-06,36,4974.662882
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),21.4770083,3.48E-06,44,4958.285581
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),21.53584544,3.38E-06,43,4960.399032
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~1),21.66409734,3.17E-06,36,4974.874197
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),21.7181888,3.09E-06,43,4960.581375
S(~AGE + NAO + EKTO + ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),21.9716675,2.72E-06,30,4987.430053
S(~AGE + NAO + EKTO + ENDO + MORPH)p(~TIME)r(~AGE2)F(~AGE),22.03692096,2.63E-06,27,4993.602547
S(~AGE + NAO + EKTO + ENDO)p(~TIME)r(~AGE2)F(~AGE + SEX),22.6261394,1.96E-06,27,4994.191766
S(~AGE + NAO)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),22.69535819,1.89E-06,27,837.1967462
S(~AGE + NAO + EKTO + ENDO + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),22.83675586,1.77E-06,28,4992.367884
S(~AGE + NAO + EKTO + ENDO + SEX)p(~TIME)r(~AGE2)F(~AGE),22.9226527,1.69E-06,27,4994.488279
S(~AGE + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),22.96715256,1.65E-06,31,4986.387291
S(~AGE + NAO + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE),23.40404854,1.33E-06,29,4990.89943
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME)r(~AGE2)F(~AGE),23.61641078,1.20E-06,36,4976.826511
S(~AGE + NAO + EKTO + ENDO + MORPH)p(~TIME)r(~AGE2)F(~AGE + SEX),23.70374551,1.14E-06,28,4993.234874
S(~AGE + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),23.78605862,1.10E-06,29,4991.28144
S(~AGE + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~AGE),23.82926524,1.07E-06,28,4993.360394
S(~AGE + NAO + EKTO + ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),24.23878089,8.76E-07,29,4991.734163
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),24.39827453,8.09E-07,40,4969.41771
S(~AGE + NAO + EKTO + ENDO)p(~TIME + AGE)r(~AGE2)F(~AGE),24.42856409,7.97E-07,28,4993.959693
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME)r(~AGE2)F(~AGE + SEX),24.71806379,6.89E-07,37,4975.882387
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),24.91500851,6.25E-07,38,4974.032296
S(~AGE + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),25.23659924,5.32E-07,30,4990.694985
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~AGE),25.28271591,5.20E-07,37,4976.447039
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE),25.77146974,4.07E-07,38,4974.888758
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),26.38162718,3.00E-07,39,4973.45062
S(~AGE + NAO + EKTO + ENDO)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),26.46065187,2.88E-07,29,4993.956034
S(~AGE + BCI + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),27.03887974,2.16E-07,25,5002.669761
S(~AGE + BCI + SEX)p(~TIME)r(~AGE2)F(~SEX),27.44915345,1.76E-07,23,5007.14031
S(~AGE + NAO + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),27.46563852,1.74E-07,30,4992.924024
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),27.48128755,1.73E-07,39,4974.55028
S(~AGE + BCI)p(~TIME + AGE)r(~AGE2)F(~1),28.49311024,1.04E-07,23,5008.184266
S(~AGE + BCI + EKTO + ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),28.96059233,8.26E-08,27,5000.526219
S(~AGE + BCI)p(~TIME)r(~AGE2)F(~1),29.05844127,7.87E-08,21,5012.804901
S(~AGE + BCI + EKTO + ENDO + SEX)p(~TIME)r(~AGE2)F(~SEX),29.09871752,7.71E-08,25,5004.729599
S(~AGE + BCI + EKTO + ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),29.59458587,6.02E-08,28,4999.125714
S(~AGE + BCI + EKTO + ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~SEX),29.61881026,5.95E-08,26,5003.217687
S(~AGE + BCI + SEX)p(~TIME + AGE)r(~AGE2)F(~1),30.01487178,4.88E-08,24,5007.676513
S(~AGE + BCI)p(~TIME + AGE)r(~AGE2)F(~SEX),30.01845592,4.87E-08,24,5007.680097
S(~AGE * BCI + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),30.03916914,4.82E-08,28,4999.570298
S(~AGE + BCI + SEX)p(~TIME)r(~AGE2)F(~1),30.51925196,3.79E-08,22,5012.238681
S(~AGE * BCI + SEX)p(~TIME)r(~AGE2)F(~SEX),30.60721281,3.63E-08,26,5004.20609
S(~AGE + BCI)p(~TIME)r(~AGE2)F(~SEX),30.60773553,3.63E-08,22,5012.327164
S(~AGE + BCI + EKTO + ENDO)p(~TIME + AGE)r(~AGE2)F(~1),30.67499446,3.51E-08,25,5006.305876
S(~AGE + BCI + EKTO + ENDO)p(~TIME)r(~AGE2)F(~1),30.9366755,3.08E-08,23,5010.627832
S(~AGE + BCI + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~1),31.11772941,2.81E-08,26,5004.716607
S(~AGE + BCI + EKTO + ENDO + MORPH)p(~TIME)r(~AGE2)F(~1),31.20592784,2.69E-08,24,5008.867569
S(~AGE * BCI)p(~TIME + AGE)r(~AGE2)F(~1),31.2529562,2.63E-08,26,5004.851833
S(~AGE + BCI)p(~TIME)r(~AGE2)F(~AGE),31.75587003,2.04E-08,24,5009.417511
S(~AGE * BCI)p(~TIME)r(~AGE2)F(~1),32.00929892,1.80E-08,24,5009.67094
S(~AGE + BCI + EKTO + ENDO)p(~TIME + AGE)r(~AGE2)F(~SEX),32.17736683,1.65E-08,26,5005.776244
S(~AGE + BCI + EKTO + ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),32.21014682,1.63E-08,26,5005.809024
S(~AGE + BCI + EKTO + ENDO + SEX)p(~TIME)r(~AGE2)F(~1),32.37099885,1.50E-08,24,5010.03264
S(~AGE + BCI + EKTO + ENDO)p(~TIME)r(~AGE2)F(~SEX),32.48240601,1.42E-08,24,5010.144047
S(~AGE + BCI)p(~TIME + AGE)r(~AGE2)F(~AGE),32.54638439,1.38E-08,26,5006.145262
S(~AGE + BCI + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~SEX),32.56146295,1.37E-08,27,5004.127089
S(~AGE + BCI + EKTO + ENDO + MORPH)p(~TIME)r(~AGE2)F(~SEX),32.71377539,1.27E-08,25,5008.344657
S(~AGE + BCI + EKTO + ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~1),32.72034632,1.26E-08,25,5008.351228
S(~AGE + BCI + EKTO + ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~1),32.75119861,1.24E-08,27,5004.316825
S(~AGE + BCI + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),32.79836314,1.21E-08,28,5002.329492
S(~AGE * BCI)p(~TIME + AGE)r(~AGE2)F(~SEX),32.80182465,1.21E-08,27,5004.367451
S(~AGE * BCI + SEX)p(~TIME + AGE)r(~AGE2)F(~1),32.8319912,1.19E-08,27,5004.397618
S(~AGE + BCI + SEX)p(~TIME)r(~AGE2)F(~AGE),32.92919741,1.14E-08,25,5008.560079
S(~AGE + BCI)p(~TIME)r(~AGE2)F(~AGE + SEX),33.06576826,1.06E-08,25,5008.69665
S(~AGE + BCI + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),33.1637533,1.01E-08,26,5006.76263
S(~AGE * BCI + SEX)p(~TIME)r(~AGE2)F(~1),33.5394727,8.37E-09,25,5009.170354
S(~AGE * BCI)p(~TIME)r(~AGE2)F(~SEX),33.56836987,8.25E-09,25,5009.199251
S(~AGE + BCI + EKTO + ENDO)p(~TIME)r(~AGE2)F(~AGE),33.69525208,7.74E-09,26,5007.294129
S(~AGE + BCI + EKTO + ENDO + MORPH)p(~TIME)r(~AGE2)F(~AGE),34.20927344,5.99E-09,27,5005.7749
S(~AGE + BCI + EKTO + ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),34.35256498,5.58E-09,29,5001.847947
S(~AGE * BCI)p(~TIME)r(~AGE2)F(~AGE),34.5585782,5.03E-09,27,5006.124205
S(~AGE + BCI + EKTO + ENDO)p(~TIME + AGE)r(~AGE2)F(~AGE),34.59103281,4.95E-09,28,5004.122161
S(~AGE + BCI)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),34.63332255,4.84E-09,27,5006.198949
S(~AGE + BCI + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),34.69783716,4.69E-09,27,5006.263464
S(~AGE + BCI + EKTO + ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),34.71576573,4.65E-09,30,5000.174151
S(~AGE + BCI + EKTO + ENDO + SEX)p(~TIME)r(~AGE2)F(~AGE),34.7799738,4.50E-09,27,5006.3456
S(~AGE + BCI + EKTO + ENDO + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),35.02852246,3.98E-09,28,5004.559651
S(~AGE + BCI + EKTO + ENDO + MORPH)p(~TIME)r(~AGE2)F(~AGE + SEX),35.2020548,3.65E-09,28,5004.733183
S(~AGE + BCI + EKTO + ENDO)p(~TIME)r(~AGE2)F(~AGE + SEX),35.32648119,3.43E-09,27,5006.892108
S(~AGE + BCI + EKTO + ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),35.36956233,3.35E-09,31,4998.789701
S(~AGE + SEX)p(~TIME)r(~AGE2)F(~SEX),35.44513605,3.23E-09,22,860.1003263
S(~AGE * BCI)p(~TIME + AGE)r(~AGE2)F(~AGE),35.60850899,2.98E-09,29,5003.103891
S(~AGE + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),35.72000865,2.81E-09,24,856.317411
S(~AGE + BCI + EKTO + ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~AGE),35.81524221,2.68E-09,28,5005.346371
S(~AGE * BCI + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),35.8365465,2.65E-09,31,4999.256685
S(~AGE + BCI + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE),35.93937034,2.52E-09,29,5003.434752
S(~AGE + BCI + EKTO + ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),36.02695787,2.41E-09,29,5003.52234
S(~AGE * BCI + SEX)p(~TIME)r(~AGE2)F(~AGE),36.04208869,2.40E-09,28,5005.573217
S(~AGE * BCI)p(~TIME)r(~AGE2)F(~AGE + SEX),36.23996334,2.17E-09,28,5005.771092
S(~AGE * BCI + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),36.24857748,2.16E-09,29,5003.743959
S(~AGE + BCI + EKTO + ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),36.60826876,1.80E-09,30,5002.066654
S(~AGE + BCI + EKTO + ENDO)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),36.77626811,1.66E-09,29,5004.27165
S(~AGE)p(~TIME)r(~AGE2)F(~1),36.82602742,1.62E-09,20,865.5340389
S(~AGE * BCI)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),36.88462124,1.57E-09,30,5002.343007
S(~AGE)p(~TIME + AGE)r(~AGE2)F(~1),36.90462961,1.56E-09,22,861.5598945
S(~AGE + BCI + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),37.3321913,1.26E-09,30,5002.790577
S(~AGE)p(~TIME)r(~AGE2)F(~SEX),37.90836636,9.42E-10,21,864.5905875
S(~AGE)p(~TIME + AGE)r(~AGE2)F(~SEX),37.92837095,9.33E-10,23,860.5552887
S(~AGE + SEX)p(~TIME)r(~AGE2)F(~1),38.62691269,6.58E-10,21,865.3091338
S(~AGE + SEX)p(~TIME + AGE)r(~AGE2)F(~1),38.74577993,6.20E-10,23,861.3726976
S(~AGE)p(~TIME)r(~AGE2)F(~AGE),39.62359669,4.00E-10,23,862.2505144
S(~AGE * BCI + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),39.75589443,3.74E-10,30,5005.21428
S(~AGE)p(~TIME)r(~AGE2)F(~AGE + SEX),40.45451435,2.64E-10,24,861.0519167
S(~AGE + SEX)p(~TIME)r(~AGE2)F(~AGE),41.14916638,1.86E-10,24,861.7465687
S(~AGE + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),41.31370639,1.72E-10,25,859.8803494
S(~AGE + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),41.52951548,1.54E-10,27,856.0309034
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX)p(~TIME)r(~AGE2)F(~SEX),41.5354274,1.54E-10,34,4998.833308
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX + MORPH)p(~TIME)r(~AGE2)F(~SEX),41.89115467,1.29E-10,35,4997.145773
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),42.08856947,1.17E-10,36,4995.298669
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX + MORPH)p(~TIME + AGE)r(~AGE2)F(~SEX),42.76699473,8.30E-11,37,4993.931318
S(~AGE * BCI + AGE * EKTO + AGE * ENDO)p(~TIME)r(~AGE2)F(~1),43.00271649,7.38E-11,32,5004.383356
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME)r(~AGE2)F(~1),43.09287272,7.05E-11,33,5002.43276
S(~AGE * BCI + AGE * EKTO + AGE * ENDO)p(~TIME + AGE)r(~AGE2)F(~1),43.37857377,6.11E-11,34,5000.676454
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~1),43.85250315,4.82E-11,35,4999.107122
S(~AGE)p(~TIME + AGE)r(~AGE2)F(~AGE),43.86389996,4.80E-11,25,862.430543
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX)p(~TIME)r(~AGE2)F(~1),44.17692713,4.10E-11,33,5003.516814
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX + MORPH)p(~TIME)r(~AGE2)F(~1),44.38034219,3.70E-11,34,5001.678223
S(~AGE * BCI + AGE * EKTO + AGE * ENDO)p(~TIME)r(~AGE2)F(~SEX),44.72410654,3.12E-11,33,5004.063994
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME)r(~AGE2)F(~SEX),44.75914147,3.07E-11,34,5002.057022
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),44.94439787,2.79E-11,35,5000.199016
S(~AGE * BCI + AGE * EKTO + AGE * ENDO)p(~TIME + AGE)r(~AGE2)F(~SEX),45.02197967,2.69E-11,35,5000.276598
S(~AGE * BCI + AGE * EKTO + AGE * ENDO)p(~TIME)r(~AGE2)F(~AGE),45.38577035,2.24E-11,35,5000.640389
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~SEX),45.4493024,2.17E-11,36,4998.659402
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX + MORPH)p(~TIME + AGE)r(~AGE2)F(~1),45.50821678,2.11E-11,36,4998.718317
S(~AGE + BCI + NAO + SEX)p(~AGE)r(~AGE2)F(~SEX),45.58940125,2.02E-11,14,5043.490406
S(~AGE + BCI + NAO + EKTO + SEX)p(~AGE)r(~AGE2)F(~SEX),45.85243742,1.77E-11,15,5041.735071
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~AGE)r(~AGE2)F(~SEX),45.8569315,1.77E-11,16,5039.71996
S(~AGE + BCI + NAO)p(~AGE)r(~AGE2)F(~1),46.09022418,1.58E-11,12,5048.024274
S(~AGE + BCI + NAO + EKTO + MORPH)p(~AGE)r(~AGE2)F(~1),46.21953868,1.48E-11,14,5044.120543
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME)r(~AGE2)F(~AGE),46.27552241,1.44E-11,36,4999.485622
S(~AGE + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),46.41381327,1.34E-11,26,862.9484519
S(~AGE)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),46.47362369,1.30E-11,26,863.0082623
S(~AGE + BCI + NAO + EKTO)p(~AGE)r(~AGE2)F(~1),46.55546588,1.25E-11,13,5046.473609
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX + MORPH)p(~TIME)r(~AGE2)F(~AGE + SEX),46.71250671,1.15E-11,38,4995.829795
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX)p(~TIME)r(~AGE2)F(~AGE),46.80903727,1.10E-11,36,5000.019137
S(~AGE * BCI + AGE * EKTO + AGE * ENDO)p(~TIME)r(~AGE2)F(~AGE + SEX),46.89781952,1.05E-11,36,5000.107919
S(~AGE * BCI + AGE * EKTO + AGE * ENDO)p(~TIME + AGE)r(~AGE2)F(~AGE),46.96186266,1.02E-11,37,4998.126186
S(~AGE + BCI + NAO + SEX)p(~AGE)r(~AGE2)F(~1),47.10033054,9.51E-12,13,5047.018473
S(~AGE * BCI + AGE * NAO + SEX)p(~AGE)r(~AGE2)F(~SEX),47.2732863,8.72E-12,20,5033.045536
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~AGE)r(~AGE2)F(~1),47.39481433,8.21E-12,15,5043.277448
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),47.43638847,8.04E-12,37,4998.600712
S(~AGE + BCI + NAO + EKTO + SEX)p(~AGE)r(~AGE2)F(~1),47.57456935,7.50E-12,14,5045.475574
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~SEX),47.8641812,6.49E-12,17,5039.70637
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX + MORPH)p(~TIME)r(~AGE2)F(~AGE),47.91741055,6.32E-12,37,4999.081734
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),47.92382974,6.30E-12,39,4994.992822
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME)r(~AGE2)F(~AGE + SEX),47.94123017,6.24E-12,37,4999.105553
S(~AGE + BCI + NAO)p(~AGE)r(~AGE2)F(~SEX),47.95821048,6.19E-12,13,5047.876353
S(~AGE * BCI + AGE * NAO)p(~AGE)r(~AGE2)F(~1),47.99509779,6.08E-12,18,5037.815211
S(~AGE + BCI + NAO + EKTO + MORPH)p(~AGE)r(~AGE2)F(~SEX),48.00307354,6.05E-12,15,5043.885707
S(~AGE * BCI + AGE * EKTO + AGE * ENDO)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),48.18133397,5.54E-12,38,4997.298622
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~AGE)r(~AGE2)F(~1),48.23649095,5.39E-12,15,5044.119124
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE),48.34239647,5.11E-12,38,4997.459684
S(~AGE + BCI + NAO + EKTO)p(~AGE)r(~AGE2)F(~SEX),48.38301797,5.01E-12,14,5046.284022
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),48.41280998,4.93E-12,38,4997.530098
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),48.51904513,4.68E-12,40,4993.538481
S(~AGE * BCI + AGE * NAO + SEX)p(~AGE)r(~AGE2)F(~1),48.96123716,3.75E-12,19,5036.758038
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~AGE)r(~AGE2)F(~1),49.41001354,3.00E-12,16,5043.273042
S(~AGE * BCI + AGE * NAO)p(~AGE)r(~AGE2)F(~SEX),49.82449332,2.44E-12,19,5037.621294
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),49.89622933,2.35E-12,39,4996.965222
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~AGE)r(~AGE2)F(~SEX),50.02118487,2.21E-12,16,5043.884214
S(~AGE * BCI + AGE * EKTO + AGE * ENDO + SEX + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE),50.04004313,2.19E-12,39,4997.109036
S(~AGE + BCI + NAO)p(~AGE)r(~AGE2)F(~AGE),50.14818409,2.07E-12,15,5046.030818
S(~AGE + BCI + NAO + EKTO + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),50.40894452,1.82E-12,18,5040.229058
S(~AGE + BCI + NAO + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),50.69050324,1.58E-12,17,5042.532692
S(~AGE + BCI + NAO + EKTO)p(~AGE)r(~AGE2)F(~AGE),50.76034002,1.53E-12,16,5044.623369
S(~AGE + BCI + NAO + EKTO + MORPH)p(~AGE)r(~AGE2)F(~AGE),50.78174959,1.51E-12,17,5042.623939
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),51.3011609,1.16E-12,19,5039.097962
S(~AGE + BCI + NAO + SEX)p(~AGE)r(~AGE2)F(~AGE),51.34104612,1.14E-12,16,5045.204075
S(~AGE * NAO + SEX)p(~AGE)r(~AGE2)F(~SEX),51.75225205,9.29E-13,16,888.551117
S(~AGE + BCI + NAO + EKTO + SEX)p(~AGE)r(~AGE2)F(~AGE),51.95398889,8.40E-13,17,5043.796178
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~AGE)r(~AGE2)F(~AGE),52.11245859,7.76E-13,18,5041.932572
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~AGE)r(~AGE2)F(~SEX),52.25542789,7.22E-13,25,5027.886309
S(~AGE * NAO)p(~AGE)r(~AGE2)F(~1),52.29481315,7.08E-13,14,893.1315791
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~AGE)r(~AGE2)F(~SEX),52.36529895,6.84E-13,24,5030.02694
S(~AGE * BCI + AGE * NAO + SEX)p(~AGE)r(~AGE2)F(~AGE + SEX),52.63463902,5.98E-13,23,5032.325795
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~AGE)r(~AGE2)F(~SEX),52.68764796,5.82E-13,24,5030.349289
