Model,DeltaQAICc,weight,npar,QDeviance
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~TIME)r(~AGE2)F(~1),7.875709784,0.003130626,32,4969.256349
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~TIME + AGE)r(~AGE2)F(~1),7.882549504,0.003119938,34,4965.18043
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~SEX),7.900830566,0.00309155,27,4979.466457
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~TIME)r(~AGE2)F(~1),8.037100892,0.002887922,33,4967.376988
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~1),8.128498419,0.002758918,27,4979.694125
S(~AGE + BCI + NAO)p(~TIME)r(~AGE2)F(~SEX),8.240527717,0.002608627,23,4987.931684
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~TIME + AGE)r(~AGE2)F(~1),8.284646654,0.002551712,35,4963.539265
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),8.331762297,0.002492302,34,4965.629643
S(~AGE + BCI + NAO + EKTO + SEX)p(~TIME)r(~AGE2)F(~1),8.380900182,0.002431815,24,4986.042541
S(~AGE * NAO)p(~TIME)r(~AGE2)F(~SEX),8.437617179,0.002363821,25,827.0042602
S(~AGE * NAO + SEX)p(~TIME)r(~AGE2)F(~1),8.4653943,0.002331217,25,827.0320373
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~TIME)r(~AGE2)F(~1),8.524532686,0.002263294,25,4984.155414
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),8.528816506,0.002258452,35,4963.783435
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~TIME)r(~AGE2)F(~1),8.599736927,0.00217977,33,4967.939624
S(~AGE + BCI + NAO + EKTO + MORPH)p(~TIME)r(~AGE2)F(~SEX),8.9057214,0.00187054,25,4984.536603
S(~AGE + BCI + NAO + EKTO)p(~TIME)r(~AGE2)F(~SEX),8.915833767,0.001861106,24,4986.577475
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~TIME)r(~AGE2)F(~1),8.991827415,0.001791716,33,4968.331714
S(~AGE + BCI + NAO)p(~TIME)r(~AGE2)F(~AGE),9.026088924,0.001761284,25,4984.65697
S(~AGE + BCI + NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),9.027745789,0.001759826,29,4976.523128
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),9.077115964,0.001716916,35,4964.331734
S(~AGE * BCI + AGE * NAO + AGE * ENDO)p(~TIME + AGE)r(~AGE2)F(~SEX),9.155593797,0.001650851,35,4964.410212
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~TIME)r(~AGE2)F(~1),9.206266861,0.00160955,25,4984.837148
S(~AGE * BCI + AGE * NAO + AGE * ENDO)p(~TIME)r(~AGE2)F(~SEX),9.224722146,0.001594766,33,4968.564609
S(~AGE * NAO)p(~TIME + AGE)r(~AGE2)F(~SEX),9.232414962,0.001588643,27,823.7338029
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~TIME)r(~AGE2)F(~1),9.278648504,0.00155234,34,4966.576529
S(~AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),9.304769882,0.001532197,27,823.8061578
S(~AGE + BCI + NAO)p(~TIME + AGE)r(~AGE2)F(~AGE),9.361294829,0.0014895,27,4980.926921
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~TIME)r(~AGE2)F(~SEX),9.546100446,0.001358033,33,4968.885987
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~1),9.580348965,0.001334976,28,4979.111477
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~1),9.596805093,0.001324037,36,4962.806905
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~TIME + AGE)r(~AGE2)F(~SEX),9.626087448,0.001304793,35,4964.880706
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~TIME)r(~AGE2)F(~SEX),9.661106602,0.001282145,34,4966.958987
S(~AGE + BCI + NAO + EKTO + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),9.704225963,0.001254798,28,4979.235354
S(~AGE + BCI + NAO + EKTO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),9.749286332,0.001226844,30,4975.207672
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~SEX),9.820860003,0.001183715,28,4979.351988
S(~AGE + BCI + NAO + EKTO)p(~TIME)r(~AGE2)F(~AGE),9.83015046,0.001178229,26,4983.429028
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~TIME + AGE)r(~AGE2)F(~SEX),9.985087427,0.001090399,36,4963.195187
S(~AGE + BCI + NAO + SEX)p(~TIME)r(~AGE2)F(~AGE),10.12554371,0.00101645,26,4983.724421
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),10.22246066,9.68E-04,29,4977.717842
S(~AGE + BCI + NAO + EKTO + MORPH)p(~TIME)r(~AGE2)F(~AGE),10.2336607,9.63E-04,27,4981.799287
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~1),10.51068992,8.38E-04,26,4984.109567
S(~AGE + BCI + NAO + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),10.56616478,8.15E-04,27,4982.131791
S(~AGE + BCI + NAO + EKTO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE),10.62134609,7.93E-04,29,4978.116728
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),10.64583406,7.84E-04,31,4974.065972
S(~AGE + BCI + NAO + EKTO)p(~TIME + AGE)r(~AGE2)F(~AGE),10.73504089,7.49E-04,28,4980.266169
S(~AGE * NAO)p(~TIME)r(~AGE2)F(~AGE),10.79248858,7.28E-04,27,825.2938765
S(~AGE + BCI + NAO + EKTO + SEX)p(~TIME)r(~AGE2)F(~AGE),10.8714891,7.00E-04,27,4982.437116
S(~AGE + BCI + NAO)p(~TIME)r(~AGE2)F(~AGE + SEX),10.88971321,6.94E-04,26,4984.48859
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~TIME)r(~AGE2)F(~SEX),10.90800728,6.87E-04,26,4984.506884
S(~AGE + BCI + NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),11.14221465,6.11E-04,28,4980.673343
S(~AGE + BCI + NAO)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),11.20433983,5.93E-04,28,4980.735468
S(~AGE * BCI + AGE * NAO + AGE * ENDO)p(~TIME)r(~AGE2)F(~AGE),11.42047452,5.32E-04,35,4966.675093
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + SEX)p(~TIME)r(~AGE2)F(~SEX),11.64015821,4.77E-04,38,4960.757446
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~TIME)r(~AGE2)F(~AGE),11.70836016,4.61E-04,28,4981.239489
S(~AGE * NAO)p(~TIME)r(~AGE2)F(~AGE + SEX),11.75891154,4.49E-04,28,824.2258014
S(~AGE + BCI + NAO + EKTO)p(~TIME)r(~AGE2)F(~AGE + SEX),11.84585375,4.30E-04,27,4983.41148
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),11.98877114,4.00E-04,40,4957.008207
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),12.00771386,3.97E-04,39,4959.076706
S(~AGE + BCI + NAO + EKTO)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),12.02170126,3.94E-04,29,4979.517083
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),12.03929914,3.90E-04,39,4959.108292
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~SEX),12.08932782,3.81E-04,39,4959.15832
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~TIME)r(~AGE2)F(~AGE),12.13356996,3.72E-04,35,4967.388188
S(~AGE + BCI + NAO + EKTO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),12.14968509,3.69E-04,29,4979.645067
S(~AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),12.21740681,3.57E-04,31,818.5733067
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),12.22122607,3.56E-04,30,4977.679612
S(~AGE + BCI + NAO + EKTO + MORPH)p(~TIME)r(~AGE2)F(~AGE + SEX),12.22925585,3.55E-04,28,4981.760384
S(~AGE * NAO + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),12.24040875,3.53E-04,29,822.6716267
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~TIME)r(~AGE2)F(~AGE),12.26659069,3.48E-04,28,4981.797719
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),12.4171197,3.23E-04,32,4973.797759
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),12.48209273,3.13E-04,37,4963.646416
S(~AGE + NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),12.63390383,2.90E-04,25,831.2005469
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~AGE),12.65453422,2.87E-04,30,4978.11292
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),12.66245741,2.86E-04,41,4955.631074
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~TIME)r(~AGE2)F(~AGE),12.66946241,2.85E-04,36,4965.879562
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~TIME)r(~AGE2)F(~AGE),12.69089261,2.82E-04,36,4965.900992
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),12.79969208,2.67E-04,30,4978.258078
S(~AGE * NAO + SEX)p(~TIME)r(~AGE2)F(~AGE),12.80085225,2.67E-04,28,825.2677421
